id	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
ProASV243	0.053529412	0.022352941	0.030588235	0.071176471	0	0.028235294	0.132352941	0.079411765
ProASV244	0	0	0.000588235	0.002352941	0	0.000588235	0.001176471	0
ProASV245	0	0.011176471	0	0	0	0	0	0
ProASV246	0.021176471	0.029411765	0.013529412	0.042941176	0	0.025882353	0.03	0.018823529
ProASV247	0.004705882	0.005294118	0.000588235	0.014117647	0	0.002941176	0	0.002352941
ProASV248	0.066470588	0.030588235	0.014705882	0.055882353	0	0.009411765	0.032352941	0.048235294
ProASV250	0.004117647	0	0	0	0	0	0.001176471	0
ProASV251	0	0	0	0	0	0	0	0.000588235
ProASV252	0.017647059	0	0	0	0	0	0.002352941	0
ProASV253	0.067647059	0.047647059	0.008235294	0.037647059	0	0.023529412	0	0.004117647
ProASV254	0	0	0.000588235	0.008235294	0	0	0	0
ProASV256	0	0	0	0	0	0.001176471	0	0
ProASV257	0	0	0	0	0.026470588	0	0	0
ProASV258	0	0	0	0	0.002352941	0	0	0
ProASV259	0	0	0	0	0.971176471	0	0	0
