label	Phylum	Abundance
BACasv79	Acidobacteria	0.003764101
BACasv80	Actinobacteria	0.001021247
BACasv81	Actinobacteria	0.00597678
BACasv82	Proteobacteria	0.00160877
BACasv83	Proteobacteria	0.003365882
BACasv84	Proteobacteria	0.002479466
BACasv85	Actinobacteria	0.003111166
BACasv87	Chloroflexi	0.000378669
BACasv88	Actinobacteria	0.000671092
BACasv89	Proteobacteria	0.000497258
BACasv90	Actinobacteria	0.001173403
BACasv91	Patescibacteria	0.003876131
BACasv92	Actinobacteria	0.000545121
BACasv93	Acidobacteria	0.000468064
BACasv94	Actinobacteria	0.000601546
BACasv96	Chloroflexi	0.002097782
BACasv97	Proteobacteria	0.000176558
BACasv98	Acidobacteria	0.004314092
BACasv99	Actinobacteria	0.001672362
BACasv100	Firmicutes	0.00044583
BACasv101	Acidobacteria	0.000662897
BACasv102	Chloroflexi	0.000771911
BACasv104	Proteobacteria	0.003349752
BACasv105	Actinobacteria	0.00063707
BACasv106	Cyanobacteria	0.000390372
BACasv107	Proteobacteria	0.002162751
BACasv108	Verrucomicrobia	0.003768536
BACasv109	Proteobacteria	0.00515722
BACasv110	Chloroflexi	0.00106518
BACasv112	Actinobacteria	0.000868366
BACasv113	Proteobacteria	5.96E-05
BACasv114	Proteobacteria	0.000507102
BACasv116	Chloroflexi	0.005932807
BACasv117	Cyanobacteria	0.000967543
BACasv118	Proteobacteria	0.000936008
BACasv119	Acidobacteria	0.0087767
BACasv120	Actinobacteria	0.001115743
BACasv121	Actinobacteria	0.001521938
BACasv122	Actinobacteria	0.001784628
BACasv123	Proteobacteria	0.001019088
BACasv124	Actinobacteria	0.000255736
BACasv125	Gemmatimonadetes	0.009529265
BACasv126	Actinobacteria	0.001250067
BACasv127	Actinobacteria	0.000842416
BACasv128	Actinobacteria	0.001003373
BACasv129	Actinobacteria	0.000449479
BACasv130	Proteobacteria	0.00128332
BACasv131	Chloroflexi	0.001123833
BACasv132	Chloroflexi	0.00041072
BACasv133	Rokubacteria	0.004554943
BACasv134	Actinobacteria	0.000368604
BACasv135	Actinobacteria	0.001573094
BACasv136	Actinobacteria	0.001098926
BACasv137	Proteobacteria	0.003459012
BACasv138	Actinobacteria	0.000905566
BACasv139	Actinobacteria	0.000466834
BACasv140	Chloroflexi	0.000359227
BACasv141	Proteobacteria	0.001641531
BACasv142	Gemmatimonadetes	0.000208599
BACasv143	Acidobacteria	0.005876298
BACasv144	Actinobacteria	0.00077073
BACasv145	Acidobacteria	7.28E-05
BACasv146	Chloroflexi	0.000215299
BACasv147	Acidobacteria	0.002497119
BACasv148	Chloroflexi	0.000547751
BACasv149	Proteobacteria	0.004154823
BACasv150	Proteobacteria	0.001202648
BACasv151	Actinobacteria	0.000728228
BACasv152	Actinobacteria	0.00036047
BACasv153	Proteobacteria	0.000616406
BACasv154	Proteobacteria	0.000297404
BACasv155	Actinobacteria	0.001182898
BACasv156	Acidobacteria	0.000122373
BACasv157	Actinobacteria	0.005942762
BACasv158	Actinobacteria	0.000765176
BACasv159	Chloroflexi	0.002489529
BACasv161	Bacteroidetes	0.00013629
BACasv162	Actinobacteria	0.004815921
BACasv163	Actinobacteria	0.000698479
BACasv164	Acidobacteria	0.002640822
BACasv165	Chloroflexi	0.001019654
BACasv166	Verrucomicrobia	0.002367633
BACasv167	Actinobacteria	0.001895682
BACasv168	Actinobacteria	0.007715558
BACasv169	Planctomycetes	0.003595109
BACasv170	Chloroflexi	0.003249914
BACasv171	Bacteroidetes	0.002250189
BACasv172	Proteobacteria	0.001588108
BACasv173	Firmicutes	0.000297052
BACasv175	Actinobacteria	0.001201311
BACasv176	Actinobacteria	0.000257136
BACasv177	Actinobacteria	0.005495415
BACasv178	Chloroflexi	0.000247801
BACasv179	Chloroflexi	0.011578875
BACasv180	Proteobacteria	0.001630083
BACasv181	Chloroflexi	0.00057446
BACasv182	Firmicutes	0.000611314
BACasv183	Actinobacteria	0.002539615
BACasv184	Actinobacteria	0.001905727
BACasv185	Actinobacteria	0.002017897
BACasv187	Chloroflexi	0.000876343
BACasv188	Actinobacteria	0.001116737
BACasv189	Actinobacteria	0.000830399
BACasv190	Actinobacteria	0.000822269
BACasv191	Proteobacteria	0.002549298
BACasv192	Actinobacteria	0.000348498
BACasv194	Proteobacteria	0.000237278
BACasv195	Firmicutes	0.000224888
BACasv196	Actinobacteria	0.00096345
BACasv197	Proteobacteria	0.000768865
BACasv198	Proteobacteria	0.000677767
BACasv199	Proteobacteria	0.000321436
BACasv200	Acidobacteria	3.41E-05
BACasv202	Acidobacteria	0.001736219
BACasv203	Proteobacteria	0.001975079
BACasv204	Chloroflexi	0.00153042
BACasv206	Acidobacteria	0.000773228
BACasv207	Bacteroidetes	0.000259639
BACasv208	Proteobacteria	0.002166684
BACasv209	Proteobacteria	0.001528866
BACasv210	Rokubacteria	0.002989179
BACasv211	Chloroflexi	0.002883647
BACasv212	Actinobacteria	0.000210249
BACasv213	Actinobacteria	0.000231083
BACasv215	Chloroflexi	0.000105315
BACasv216	Acidobacteria	0.001194225
BACasv217	Actinobacteria	0.002205066
BACasv218	Actinobacteria	0.000504439
BACasv220	Proteobacteria	0.001562624
BACasv221	Proteobacteria	0.000340515
BACasv222	Proteobacteria	6.81E-05
BACasv223	Proteobacteria	9.60E-05
BACasv224	Latescibacteria	0.001230434
BACasv225	Acidobacteria	0.000897318
BACasv226	Chloroflexi	0.003714639
BACasv227	Chloroflexi	0.001265708
BACasv228	Proteobacteria	0.001810718
BACasv229	Proteobacteria	0.002702541
BACasv232	Proteobacteria	0.002537975
BACasv233	Proteobacteria	0.002679344
BACasv234	Proteobacteria	0.000468371
BACasv235	Gemmatimonadetes	0.000309871
BACasv236	Acidobacteria	0.000119149
BACasv237	Actinobacteria	0.000644314
BACasv238	Firmicutes	0.0001239
BACasv239	Actinobacteria	0.002409629
BACasv240	Actinobacteria	0.000195143
BACasv241	Acidobacteria	0.001238059
BACasv242	Chloroflexi	0.000842946
BACasv243	Actinobacteria	0.001251275
BACasv245	Actinobacteria	0.001345538
BACasv246	Acidobacteria	0.001125348
BACasv247	Chloroflexi	0.0001109
BACasv248	Planctomycetes	0.001320505
BACasv249	Proteobacteria	0.002398996
BACasv250	Actinobacteria	0.001054004
BACasv251	Actinobacteria	0.000270078
BACasv253	Planctomycetes	1.86E-05
BACasv254	Proteobacteria	0.00415205
BACasv255	Actinobacteria	0.000832813
BACasv256	Actinobacteria	0.002202364
BACasv257	Firmicutes	0.001212033
BACasv258	Chloroflexi	0.001336711
BACasv259	Actinobacteria	0.000637849
BACasv260	Proteobacteria	7.43E-05
BACasv261	Actinobacteria	0.000112529
BACasv262	Proteobacteria	0.002717994
BACasv263	Planctomycetes	0.000797136
BACasv264	Proteobacteria	0.001381137
BACasv266	Proteobacteria	0.000344777
BACasv267	Actinobacteria	0.000427797
BACasv268	Actinobacteria	0.000279116
BACasv269	Proteobacteria	0.000403551
BACasv270	Proteobacteria	0.000105315
BACasv272	Actinobacteria	0.001509283
BACasv273	Actinobacteria	0.002288677
BACasv274	Acidobacteria	0.001434175
BACasv275	Acidobacteria	0.001518428
BACasv276	Actinobacteria	0.000364065
BACasv277	Chloroflexi	0.000887353
BACasv278	Actinobacteria	0.001881995
BACasv279	Actinobacteria	0.001141666
BACasv280	Acidobacteria	0.003452898
BACasv281	Acidobacteria	0.000464479
BACasv282	Proteobacteria	0.002596915
BACasv283	Actinobacteria	0.001192147
BACasv284	Actinobacteria	0.000110821
BACasv285	Proteobacteria	0.000217293
BACasv286	Actinobacteria	0.002045777
BACasv288	Chloroflexi	0.000398708
BACasv289	Gemmatimonadetes	0.00191374
BACasv290	Actinobacteria	0.001704472
BACasv291	Actinobacteria	0.000422792
BACasv292	Cyanobacteria	0.000422792
BACasv293	Chloroflexi	0.001383222
BACasv294	Chloroflexi	0.001187991
BACasv295	Actinobacteria	0.000706634
BACasv296	Proteobacteria	0.0006885
BACasv297	Cyanobacteria	0.000404493
BACasv298	Chloroflexi	0.001077788
BACasv300	Acidobacteria	8.36E-05
BACasv302	Proteobacteria	0.001233417
BACasv303	Acidobacteria	0.00146982
BACasv304	Actinobacteria	0.000349162
BACasv305	Actinobacteria	0.000243346
BACasv306	Firmicutes	0.000250898
BACasv307	Actinobacteria	0.001056708
BACasv308	Proteobacteria	0.000379913
BACasv309	Actinobacteria	0.000488651
BACasv310	Proteobacteria	0.001745705
BACasv312	Actinobacteria	0.00210023
BACasv313	Actinobacteria	0.000870123
BACasv314	Acidobacteria	0.000380718
BACasv315	Actinobacteria	0.000549553
BACasv316	Firmicutes	0.000538437
BACasv317	Proteobacteria	0.000598429
BACasv320	Actinobacteria	0.00141368
BACasv321	Chloroflexi	0.000307125
BACasv322	Actinobacteria	0.000579924
BACasv324	Chloroflexi	4.51E-05
BACasv325	Actinobacteria	9.29E-05
BACasv326	Bacteroidetes	0.00047221
BACasv327	Proteobacteria	0.001962982
BACasv328	Verrucomicrobia	0.000703368
BACasv329	Actinobacteria	0.000331489
BACasv330	Planctomycetes	0.000169423
BACasv331	Chloroflexi	0.000486824
BACasv332	Proteobacteria	0.000357378
BACasv333	Acidobacteria	0.002660888
BACasv334	Acidobacteria	0.000864101
BACasv335	Actinobacteria	0.001129139
BACasv337	Proteobacteria	0.000505171
BACasv338	Acidobacteria	0.000804986
BACasv339	Proteobacteria	0.000569875
BACasv340	Actinobacteria	0.000657754
BACasv341	Actinobacteria	0.004003886
BACasv342	Acidobacteria	0.001007114
BACasv343	Planctomycetes	0.000974836
BACasv345	Proteobacteria	0.000536257
BACasv346	Proteobacteria	0.000671828
BACasv347	Proteobacteria	0.000660185
BACasv349	Acidobacteria	0.000695249
BACasv350	Chloroflexi	0.001604432
BACasv351	Acidobacteria	6.81E-05
BACasv352	Chloroflexi	0.003083204
BACasv353	Acidobacteria	0.001129016
BACasv354	Proteobacteria	0.001271582
BACasv355	Proteobacteria	0.001259804
BACasv356	Actinobacteria	0.000322075
BACasv357	Actinobacteria	0.000562843
BACasv359	Chloroflexi	0.000105698
BACasv360	Acidobacteria	0.000483972
BACasv361	Actinobacteria	0.000607831
BACasv362	Proteobacteria	0.001540617
BACasv363	Chloroflexi	0.000566164
BACasv364	Chloroflexi	0.000721865
BACasv365	Proteobacteria	0.000374943
BACasv366	Proteobacteria	0.000114187
BACasv368	Proteobacteria	0.000668834
BACasv369	Actinobacteria	0.00080787
BACasv370	Proteobacteria	0.000896651
BACasv371	Latescibacteria	0.00036423
BACasv372	Actinobacteria	0.000120803
BACasv373	Bacteroidetes	0.000120803
BACasv374	Proteobacteria	0.000156021
BACasv375	Proteobacteria	0.000540895
BACasv376	Acidobacteria	0.001312392
BACasv377	Acidobacteria	0.00066961
BACasv378	Latescibacteria	0.000925698
BACasv379	Actinobacteria	0.000117705
BACasv380	Chloroflexi	0.000628208
BACasv381	Proteobacteria	0.000308963
BACasv382	Firmicutes	0.000308963
BACasv383	Actinobacteria	0.001344977
BACasv384	Acidobacteria	0.000321088
BACasv385	Proteobacteria	0.000547272
BACasv386	Actinobacteria	0.000328977
BACasv387	Bacteroidetes	0.000511935
BACasv389	Proteobacteria	0.000184875
BACasv390	Actinobacteria	0.000715389
BACasv391	Proteobacteria	0.001425809
BACasv392	Acidobacteria	0.001135097
BACasv393	Proteobacteria	0.000831793
BACasv394	Cyanobacteria	0.000300833
BACasv395	Actinobacteria	0.000366426
BACasv396	Actinobacteria	0.000266632
BACasv398	Proteobacteria	6.20E-05
BACasv400	Proteobacteria	0.000409629
BACasv401	Proteobacteria	0.000330175
BACasv402	Chloroflexi	0.000678636
BACasv403	Chloroflexi	0.001898184
BACasv404	Verrucomicrobia	0.001133766
BACasv405	Cyanobacteria	0.000292702
BACasv406	Chloroflexi	0.000543164
BACasv407	Actinobacteria	0.001054124
BACasv408	Proteobacteria	0.000587325
BACasv410	Chloroflexi	3.78E-05
BACasv411	Acidobacteria	4.96E-05
BACasv412	Cyanobacteria	3.10E-05
BACasv413	Dependentiae	9.55E-05
BACasv414	Actinobacteria	0.000434831
BACasv416	Proteobacteria	0.001081683
BACasv417	Actinobacteria	0.000515079
BACasv418	Nitrospirae	0.000597763
BACasv419	Verrucomicrobia	0.000330306
BACasv420	Actinobacteria	0.000778436
BACasv421	Actinobacteria	0.000305801
BACasv422	Chloroflexi	0.000674615
BACasv424	Proteobacteria	0.000346761
BACasv426	Chloroflexi	8.61E-05
BACasv427	Acidobacteria	0.00016065
BACasv428	Actinobacteria	0.000105315
BACasv429	Proteobacteria	4.62E-05
BACasv430	Chloroflexi	7.43E-05
BACasv432	Bacteroidetes	0.000500792
BACasv433	Proteobacteria	0.000351471
BACasv434	Proteobacteria	0.000380859
BACasv435	Chloroflexi	0.000427551
BACasv436	Actinobacteria	0.000915779
BACasv437	Actinobacteria	0.000992405
BACasv440	Chloroflexi	9.32E-05
BACasv441	Acidobacteria	7.84E-05
BACasv442	Chloroflexi	7.86E-05
BACasv443	Proteobacteria	0.000488207
BACasv444	Chloroflexi	0.000847933
BACasv445	Bacteroidetes	0.000518535
BACasv446	Bacteroidetes	0.000462909
BACasv447	Actinobacteria	0.00024539
BACasv448	Chloroflexi	0.000310926
BACasv449	Chloroflexi	1.55E-05
BACasv450	Firmicutes	6.67E-05
BACasv451	Cyanobacteria	0.000119149
BACasv452	Proteobacteria	0.000632472
BACasv453	Proteobacteria	0.000818919
BACasv455	Verrucomicrobia	0.000214069
BACasv456	Acidobacteria	0.000385404
BACasv457	Proteobacteria	0.001031091
BACasv458	Acidobacteria	0.001368089
BACasv461	Patescibacteria	1.89E-05
BACasv462	Planctomycetes	2.14E-05
BACasv463	Cyanobacteria	0.0004628
BACasv464	Acidobacteria	0.000523337
BACasv465	Bacteroidetes	0.000715926
BACasv467	Acidobacteria	0.000158538
BACasv468	Proteobacteria	0.000757232
BACasv469	Actinobacteria	0.000208982
BACasv471	Proteobacteria	0.000172388
BACasv472	Gemmatimonadetes	0.001995253
BACasv473	Actinobacteria	0.000147065
BACasv474	Proteobacteria	0.000315077
BACasv475	Entotheonellaeota	0.000456908
BACasv476	Proteobacteria	0.000227657
BACasv478	Gemmatimonadetes	0.000456952
BACasv479	Actinobacteria	0.000526744
BACasv480	Proteobacteria	0.000201776
BACasv481	Proteobacteria	0.000299343
BACasv485	Bacteroidetes	0.000762911
BACasv486	Proteobacteria	0.000192395
BACasv487	Proteobacteria	0.000277446
BACasv488	Acidobacteria	0.00031553
BACasv489	Proteobacteria	0.000802765
BACasv491	Acidobacteria	0.000326121
BACasv492	Acidobacteria	7.28E-05
BACasv493	Planctomycetes	7.74E-05
BACasv497	Actinobacteria	0.00024985
BACasv498	Bacteroidetes	0.000708027
BACasv499	Acidobacteria	0.000617386
BACasv500	Actinobacteria	0.000264455
BACasv501	Proteobacteria	0.000300994
BACasv502	Bacteroidetes	0.00018527
BACasv503	Actinobacteria	0.000248298
BACasv504	Proteobacteria	0.00013656
BACasv506	Actinobacteria	0.000372046
BACasv508	Chloroflexi	0.000373858
BACasv509	Proteobacteria	0.0004449
BACasv510	Chloroflexi	0.000534238
BACasv511	Gemmatimonadetes	7.74E-05
BACasv512	Firmicutes	0.000154876
BACasv513	Proteobacteria	0.000534237
BACasv514	Actinobacteria	0.000117027
BACasv515	Proteobacteria	0.000184528
BACasv516	Actinobacteria	0.000147761
BACasv517	Verrucomicrobia	0.000147761
BACasv518	Proteobacteria	0.000506163
BACasv519	Actinobacteria	0.000126056
BACasv520	Actinobacteria	0.000126056
BACasv521	Verrucomicrobia	0.000469096
BACasv522	Firmicutes	0.000116603
BACasv523	Proteobacteria	0.000195135
BACasv524	Proteobacteria	0.000195135
BACasv526	Actinobacteria	0.000570499
BACasv527	Patescibacteria	0.000531269
BACasv528	Gemmatimonadetes	0.000864532
BACasv530	Actinobacteria	0.000171267
BACasv534	Proteobacteria	0.000482244
BACasv535	Acidobacteria	0.000498886
BACasv536	Proteobacteria	0.000452767
BACasv537	Actinobacteria	0.000459505
BACasv538	Proteobacteria	0.000256193
BACasv539	Acidobacteria	0.000408336
BACasv540	Actinobacteria	7.12E-05
BACasv541	Firmicutes	7.12E-05
BACasv544	Actinobacteria	0.000165744
BACasv545	Proteobacteria	0.000554768
BACasv548	Acidobacteria	2.17E-05
BACasv549	Bacteroidetes	2.17E-05
BACasv550	Actinobacteria	0.000437496
BACasv551	Verrucomicrobia	0.000395808
BACasv552	Acidobacteria	0.000230955
BACasv553	Actinobacteria	0.000300591
BACasv554	Actinobacteria	0.000115551
BACasv555	Acidobacteria	0.000305163
BACasv556	Bacteroidetes	6.81E-05
BACasv557	Actinobacteria	0.000534309
BACasv558	Acidobacteria	0.000331151
BACasv559	Actinobacteria	0.000158538
BACasv561	Firmicutes	6.50E-05
BACasv562	FCPU426	0.000130817
BACasv563	Proteobacteria	0.000204891
BACasv564	Acidobacteria	0.000129291
BACasv565	Actinobacteria	0.000324721
BACasv566	Gemmatimonadetes	0.001244699
BACasv567	Verrucomicrobia	0.000183262
BACasv568	Actinobacteria	0.000110299
BACasv569	Proteobacteria	6.50E-05
BACasv570	Cyanobacteria	0.000170743
BACasv571	Chloroflexi	0.000366368
BACasv572	Actinobacteria	0.000151332
BACasv573	Proteobacteria	0.000151332
BACasv574	Actinobacteria	0.000194429
BACasv579	Chloroflexi	4.63E-05
BACasv580	Chloroflexi	0.000145802
BACasv581	Firmicutes	0.000132939
BACasv582	Proteobacteria	0.000123135
BACasv583	Proteobacteria	0.000123135
BACasv584	Chloroflexi	0.000340962
BACasv585	Proteobacteria	0.000256538
BACasv586	Acidobacteria	0.000214988
BACasv588	Bacteroidetes	0.000136519
BACasv589	Gemmatimonadetes	9.45E-05
BACasv590	Gemmatimonadetes	0.000332545
BACasv591	Gemmatimonadetes	0.000162224
BACasv592	Planctomycetes	0.000301563
BACasv593	Bacteroidetes	0.000237057
BACasv594	Chloroflexi	0.000431542
BACasv595	Rokubacteria	0.000802245
BACasv596	Firmicutes	6.20E-05
BACasv597	Chloroflexi	0.000128144
BACasv598	Actinobacteria	0.000162612
BACasv599	Chloroflexi	0.000162612
BACasv600	Chloroflexi	0.00024265
BACasv601	Cyanobacteria	0.000162612
BACasv602	Gemmatimonadetes	0.000218006
BACasv603	Proteobacteria	0.000432322
BACasv604	Firmicutes	0.000144126
BACasv605	Acidobacteria	0.000321166
BACasv607	Proteobacteria	0.000125654
BACasv610	Actinobacteria	2.79E-05
BACasv613	Actinobacteria	0.000200596
BACasv614	Gemmatimonadetes	0.00092596
BACasv615	Chloroflexi	0.000135389
BACasv616	Actinobacteria	0.000619405
BACasv617	Acidobacteria	0.000298856
BACasv618	Chloroflexi	0.000398686
BACasv619	Acidobacteria	0.00039208
BACasv620	Dependentiae	0.000125768
BACasv622	Proteobacteria	5.89E-05
BACasv623	Cyanobacteria	0.000154482
BACasv624	Gemmatimonadetes	0.000411104
BACasv625	Actinobacteria	0.000296367
BACasv626	Actinobacteria	0.000331414
BACasv627	Proteobacteria	0.000311906
BACasv628	Chloroflexi	0.000193925
BACasv629	Actinobacteria	0.000136919
BACasv630	Chloroflexi	0.000155819
BACasv631	Actinobacteria	0.000258878
BACasv632	Proteobacteria	0.000186799
BACasv638	Proteobacteria	0.000204503
BACasv639	Bacteroidetes	0.000408776
BACasv640	Proteobacteria	0.000235274
BACasv641	Actinobacteria	0.000324135
BACasv642	Bacteroidetes	0.000202028
BACasv643	Chloroflexi	0.000171525
BACasv644	Actinobacteria	0.000119149
BACasv645	Euryarchaeota	5.58E-05
BACasv646	Acidobacteria	5.58E-05
BACasv647	Gemmatimonadetes	5.58E-05
BACasv648	Actinobacteria	0.000217226
BACasv651	Proteobacteria	0.000352156
BACasv652	Chloroflexi	0.000156639
BACasv653	Proteobacteria	0.000104664
BACasv654	Chloroflexi	0.000168154
BACasv655	Proteobacteria	0.000302013
BACasv656	Chloroflexi	0.000117091
BACasv657	Proteobacteria	0.000169615
BACasv658	Actinobacteria	0.000121138
BACasv659	Proteobacteria	0.000230575
BACasv661	Dependentiae	0.000199923
BACasv662	Proteobacteria	0.00013555
BACasv663	Proteobacteria	0.000132044
BACasv664	Chloroflexi	8.93E-05
BACasv665	Firmicutes	5.27E-05
BACasv666	Firmicutes	0.00013822
BACasv667	Actinobacteria	0.000255052
BACasv668	Bacteroidetes	0.000217784
BACasv671	Gemmatimonadetes	0.000155422
BACasv672	Bacteroidetes	0.000113929
BACasv673	Proteobacteria	1.86E-05
BACasv674	Actinobacteria	9.85E-05
BACasv675	Gemmatimonadetes	0.000169383
BACasv676	Bacteroidetes	0.000187882
BACasv677	Acidobacteria	7.56E-05
BACasv679	Proteobacteria	0.000361216
BACasv680	Proteobacteria	0.000188359
BACasv681	Proteobacteria	0.000157918
BACasv682	Planctomycetes	0.000117112
BACasv683	Firmicutes	4.96E-05
BACasv684	Proteobacteria	0.000328719
BACasv685	Chloroflexi	0.000288774
BACasv690	Cyanobacteria	2.48E-05
BACasv691	Bacteroidetes	0.000163226
BACasv692	Dependentiae	0.000218365
BACasv693	Actinobacteria	0.000184986
BACasv694	Gemmatimonadetes	0.00026291
BACasv695	Proteobacteria	0.0002518
BACasv696	Verrucomicrobia	7.09E-05
BACasv697	Planctomycetes	7.09E-05
BACasv698	Bacteroidetes	7.09E-05
BACasv699	Chloroflexi	0.000329419
BACasv700	Proteobacteria	0.000152202
BACasv702	Proteobacteria	0.000106886
BACasv703	Acidobacteria	0.00013767
BACasv704	Proteobacteria	0.000106886
BACasv705	Proteobacteria	0.00015941
BACasv706	Proteobacteria	0.000135485
BACasv707	Elusimicrobia	7.88E-05
BACasv708	Actinobacteria	9.93E-05
BACasv709	Firmicutes	4.65E-05
BACasv710	Proteobacteria	0.000121959
BACasv711	Proteobacteria	0.000163505
BACasv712	Proteobacteria	1.86E-05
BACasv713	Actinobacteria	0.000114544
BACasv714	Bacteroidetes	0.000127717
BACasv715	Acidobacteria	0.000145441
BACasv717	Acidobacteria	9.98E-05
BACasv718	Acidobacteria	7.35E-05
BACasv719	Proteobacteria	0.000166091
BACasv720	Chlamydiae	0.000246635
BACasv721	Chloroflexi	0.000295912
BACasv723	Armatimonadetes	4.34E-05
BACasv724	Proteobacteria	0.000100888
BACasv726	Cyanobacteria	1.55E-05
BACasv730	Proteobacteria	0.000122562
BACasv731	Planctomycetes	7.99E-05
BACasv732	Acidobacteria	6.14E-05
BACasv733	Actinobacteria	0.000132683
BACasv734	Proteobacteria	0.00010395
BACasv735	Entotheonellaeota	0.000154829
BACasv736	Elusimicrobia	6.14E-05
BACasv737	Elusimicrobia	6.14E-05
BACasv738	Planctomycetes	0.000122992
BACasv739	Acidobacteria	0.000134654
BACasv740	Acidobacteria	6.83E-05
BACasv741	Actinobacteria	6.83E-05
BACasv742	Firmicutes	4.03E-05
BACasv743	Chloroflexi	0.000163523
BACasv744	Acidobacteria	9.37E-05
BACasv745	Chloroflexi	9.37E-05
BACasv746	Proteobacteria	9.37E-05
BACasv747	Firmicutes	9.37E-05
BACasv751	Proteobacteria	7.39E-05
BACasv752	Actinobacteria	7.39E-05
BACasv753	Proteobacteria	0.000130581
BACasv754	Planctomycetes	0.000126404
BACasv755	Proteobacteria	7.39E-05
BACasv756	Proteobacteria	5.67E-05
BACasv757	Actinobacteria	0.000105954
BACasv758	Acidobacteria	0.000150472
BACasv759	Acidobacteria	0.000135969
BACasv760	Proteobacteria	5.67E-05
BACasv761	Chloroflexi	0.000105954
BACasv762	Bacteroidetes	8.55E-05
BACasv763	Proteobacteria	0.000156405
BACasv764	Proteobacteria	8.55E-05
BACasv765	Acidobacteria	0.000138032
BACasv766	Proteobacteria	6.30E-05
BACasv767	Bacteroidetes	0.00012716
BACasv768	Verrucomicrobia	0.000142063
BACasv769	Firmicutes	3.72E-05
BACasv771	Proteobacteria	0.00013822
BACasv772	Chloroflexi	9.76E-05
BACasv775	Proteobacteria	6.41E-05
BACasv777	Proteobacteria	0.000100799
BACasv778	Proteobacteria	0.000195099
BACasv779	Proteobacteria	0.000137523
BACasv780	Bacteroidetes	0.000154656
BACasv781	Proteobacteria	5.20E-05
BACasv782	Proteobacteria	9.51E-05
BACasv783	Actinobacteria	5.20E-05
BACasv784	Chloroflexi	0.000101229
BACasv785	Chloroflexi	5.20E-05
BACasv786	Acidobacteria	7.84E-05
BACasv787	Actinobacteria	5.78E-05
BACasv788	Proteobacteria	3.41E-05
BACasv789	Proteobacteria	3.41E-05
BACasv790	Chloroflexi	8.94E-05
BACasv791	Proteobacteria	8.94E-05
BACasv792	Chloroflexi	0.000197169
BACasv793	Cyanobacteria	2.17E-05
BACasv796	Chloroflexi	2.79E-05
BACasv798	Proteobacteria	6.16E-05
BACasv799	Proteobacteria	9.46E-05
BACasv800	Proteobacteria	6.16E-05
BACasv801	Bacteroidetes	6.16E-05
BACasv802	Proteobacteria	6.16E-05
BACasv803	Bacteroidetes	0.000237424
BACasv804	Chloroflexi	6.16E-05
BACasv805	Chloroflexi	0.000437916
