ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Phylum	Abundance
BACasv135	0	0.001323001	0.001140121	0	0.000582504	0	0.004292962	0.005246166	Actinobacteria	0.001573094
BACasv136	0	0.000642601	0	0.000840371	0	0	0.00292702	0.004381414	Actinobacteria	0.001098926
BACasv137	0.003447766	0.003477603	0.006498689	0.007563343	0	0	0.004032783	0.002651908	Proteobacteria	0.003459012
BACasv138	0.000886568	0	0	0	0	0	0.003187199	0.00317076	Actinobacteria	0.000905566
BACasv139	0	0	0	0	0.002594789	0.001139884	0	0	Actinobacteria	0.000466834
BACasv140	0	0	0	0	0.001535692	0.001338124	0	0	Chloroflexi	0.000359227
BACasv141	0.000935822	0.000982801	0.001254133	0.001386613	0.001112053	0.001982406	0.003057109	0.002421308	Proteobacteria	0.001641531
BACasv142	0.000492538	0	0.000798085	0.000378167	0	0	0	0	Gemmatimonadetes	0.000208599
BACasv143	0.002610452	0.003402003	0.004275453	0.007017102	0.001694556	0.002849709	0.008846104	0.016315001	Acidobacteria	0.005876298
BACasv144	0	0	0	0	0	0	0.004032783	0.002133057	Actinobacteria	0.00077073
BACasv145	0	0	0	0	0.000582504	0	0	0	Acidobacteria	0.000072813
BACasv146	0	0	0	0	0.000582504	0.001139884	0	0	Chloroflexi	0.000215299
BACasv147	0.005811949	0.006161406	0.002793296	0.005210303	0	0	0	0	Acidobacteria	0.002497119
BACasv148	0	0	0	0	0.001482737	0.002899269	0	0	Chloroflexi	0.000547751
BACasv149	0.008126878	0.006955207	0.005016532	0.004748099	0	0	0.001300898	0.007090972	Proteobacteria	0.004154823
BACasv150	0.001625376	0	0.000627066	0.004832136	0	0	0	0.002536608	Proteobacteria	0.001202648
BACasv151	0	0	0	0	0	0	0.003577468	0.002248357	Actinobacteria	0.000728228
BACasv152	0	0	0.001539163	0.001344594	0	0	0	0	Actinobacteria	0.00036047
BACasv153	0	0	0	0	0.003865706	0.001065543	0	0	Proteobacteria	0.000616406
BACasv154	0	0	0	0	0.001165007	0.001214224	0	0	Proteobacteria	0.000297404
BACasv155	0.00103433	0.001323001	0.000912097	0.00058826	0	0	0.002146481	0.003459011	Actinobacteria	0.001182898
BACasv156	0	0	0	0	0.000582504	0.000396481	0	0	Acidobacteria	0.000122373
BACasv157	0.006747771	0.005518806	0.011515221	0.009748309	0	0.0001239	0.005528815	0.008359276	Actinobacteria	0.005942762
BACasv158	0	0.000529201	0	0	0	0	0.00253675	0.003055459	Actinobacteria	0.000765176
BACasv159	0.004826873	0.004044604	0	0.001344594	0	0	0.00266684	0.007033322	Chloroflexi	0.002489529
BACasv161	0	0	0	0	0	0.001090323	0	0	Bacteroidetes	0.00013629
BACasv162	0.008077624	0.006237006	0.006384677	0.005168284	0	0	0.006894757	0.005765018	Actinobacteria	0.004815921
BACasv163	0	0	0	0	0	0	0.003512424	0.002075406	Actinobacteria	0.000698479
BACasv164	0.001625376	0.002797203	0.003477369	0.002395059	0	0.000495602	0.00572395	0.004612014	Acidobacteria	0.002640822
BACasv165	0.001132838	0.000718201	0	0	0	0	0.002731885	0.003574311	Chloroflexi	0.001019654
BACasv166	0.004629858	0.006841807	0.002679284	0.004790117	0	0	0	0	Verrucomicrobia	0.002367633
BACasv167	0.004285081	0.001701002	0.001026109	0.000840371	0.000741368	0.000892083	0.00279693	0.002882509	Actinobacteria	0.001895682
BACasv168	0.008520908	0.007673408	0.016816783	0.009076012	0.000582504	0	0.012943931	0.006110919	Actinobacteria	0.007715558
BACasv169	0.004038812	0.005972406	0.00820887	0.010252532	0	0	0	0.000288251	Planctomycetes	0.003595109
BACasv170	0.002758213	0.004762805	0.006612701	0.004033783	0	0	0.004488097	0.00334371	Chloroflexi	0.003249914
BACasv171	0.004580604	0.003893404	0.005073538	0.004453969	0	0	0	0	Bacteroidetes	0.002250189
BACasv172	0.000738807	0.000907201	0	0	0	0	0.006504488	0.004554364	Proteobacteria	0.001588108
BACasv173	0	0	0	0	0.001217962	0.000768182	0.000390269	0	Firmicutes	0.000297052
BACasv175	0	0	0	0	0.000529549	0	0.00533368	0.003747262	Actinobacteria	0.001201311
BACasv176	0	0	0	0	0.001165007	0.000892083	0	0	Actinobacteria	0.000257136
BACasv177	0.005516426	0.006879607	0.005529586	0.005168284	0.000688413	0	0.008650969	0.011530036	Actinobacteria	0.005495415
BACasv178	0	0	0	0	0	0.001982406	0	0	Chloroflexi	0.000247801
BACasv179	0.009801507	0.008958609	0.009463003	0.01029455	0	0	0.03531937	0.018793958	Chloroflexi	0.011578875
BACasv180	0	0	0.001710181	0.002563133	0	0	0.001561077	0.007206272	Proteobacteria	0.001630083
BACasv181	0	0.0004536	0.002223236	0.001596706	0	0.000322141	0	0	Chloroflexi	0.00057446
BACasv182	0	0	0	0	0.003230248	0.001660265	0	0	Firmicutes	0.000611314
BACasv183	0	0	0.001368145	0.002142947	0.002435925	0.000966423	0.009886822	0.003516661	Actinobacteria	0.002539615
BACasv184	0	0.000793801	0.001083115	0.000966427	0	0	0.005138546	0.007263923	Actinobacteria	0.001905727
BACasv185	0.001723883	0.001852202	0.002223236	0.002016891	0	0	0.003772603	0.004554364	Actinobacteria	0.002017897
BACasv187	0	0	0	0	0.004607075	0.002403667	0	0	Chloroflexi	0.000876343
BACasv188	0	0	0	0	0.007307774	0	0.001626122	0	Actinobacteria	0.001116737
BACasv189	0	0	0	0	0	0	0.002146481	0.004496714	Actinobacteria	0.000830399
BACasv190	0	0	0	0	0	0	0.002081436	0.004496714	Actinobacteria	0.000822269
BACasv191	0.002561198	0.001890002	0.00245126	0.001680743	0	0	0.005008456	0.006802721	Proteobacteria	0.002549298
BACasv192	0	0	0	0	0.000370684	0.001437244	0	0.000980053	Actinobacteria	0.000348498
BACasv194	0	0	0	0	0.001006143	0.000892083	0	0	Proteobacteria	0.000237278
BACasv195	0	0	0	0	0.001006143	0.000792962	0	0	Firmicutes	0.000224888
BACasv196	0.001231345	0.000756001	0.000969103	0	0	0	0.003252244	0.001498905	Actinobacteria	0.00096345
BACasv197	0.000640299	0.000529201	0	0.000378167	0	0	0.001951346	0.002651908	Proteobacteria	0.000768865
BACasv198	0	0	0	0	0	0	0.001040718	0.004381414	Proteobacteria	0.000677767
BACasv199	0.001773137	0	0	0.000798353	0	0	0	0	Proteobacteria	0.000321436
BACasv200	0	0	0	0	0	0.000272581	0	0	Acidobacteria	3.41E-05
BACasv202	0.00453135	0.004158004	0.002679284	0.002521114	0	0	0	0	Acidobacteria	0.001736219
BACasv203	0.003546274	0.002570403	0.004275453	0.00235304	0	0	0	0.003055459	Proteobacteria	0.001975079
BACasv204	0.003053736	0.001965602	0.001653175	0.000840371	0	0	0.003577468	0.001153004	Chloroflexi	0.00153042
BACasv206	0.000886568	0	0.001710181	0.001974873	0	0	0	0.001614205	Acidobacteria	0.000773228
BACasv207	0	0	0	0	0.000317729	0.001759385	0	0	Bacteroidetes	0.000259639
BACasv208	0.003595528	0.001134001	0.002622278	0.000630279	0	0	0.004162872	0.005188516	Proteobacteria	0.002166684
BACasv209	0.00206866	0.002759403	0.002679284	0.003109374	0	0	0	0.001614205	Proteobacteria	0.001528866
BACasv210	0.006944786	0.006312606	0.004218447	0.005630489	0	0	0	0.000807103	Rokubacteria	0.002989179
BACasv211	0.001625376	0.001285201	0.001710181	0.001260557	0	0	0.012748797	0.004439064	Chloroflexi	0.002883647
BACasv212	0	0	0	0	0.001112053	0.000569942	0	0	Actinobacteria	0.000210249
BACasv213	0	0	0	0	0.001006143	0.000842523	0	0	Actinobacteria	0.000231083
BACasv215	0	0	0	0	0	0.000842523	0	0	Chloroflexi	0.000105315
BACasv216	0.002019406	0.002835003	0.002052218	0.00264717	0	0	0	0	Acidobacteria	0.001194225
BACasv217	0.002511944	0.002003402	0.004047429	0.002269003	0	0	0.002081436	0.004727315	Actinobacteria	0.002205066
BACasv218	0	0	0	0	0	0	0	0.004035513	Actinobacteria	0.000504439
BACasv220	0.003053736	0.002608203	0.002508266	0.001848817	0	0	0.001040718	0.001441254	Proteobacteria	0.001562624
BACasv221	0	0	0	0	0.001906376	0.000817743	0	0	Proteobacteria	0.000340515
BACasv222	0	0	0	0	0	0.000545162	0	0	Proteobacteria	6.81E-05
BACasv223	0	0	0	0	0	0.000768182	0	0	Proteobacteria	9.60E-05
BACasv224	0.00142836	0.002797203	0.001710181	0.003907727	0	0	0	0	Latescibacteria	0.001230434
BACasv225	0.001576122	0.001134001	0.001653175	0.002815244	0	0	0	0	Acidobacteria	0.000897318
BACasv226	0.004679111	0.003666604	0.005358568	0.005168284	0	0	0.007154937	0.003689611	Chloroflexi	0.003714639
BACasv227	0.000443284	0.000982801	0	0.002184966	0	0	0.00253675	0.003977862	Chloroflexi	0.001265708
BACasv228	0.00310299	0.002608203	0.003762399	0.00411782	0	0	0.00026018	0.000634152	Proteobacteria	0.001810718
BACasv229	0.004334335	0.003893404	0.003078326	0.003697634	0	0	0.00292702	0.003689611	Proteobacteria	0.002702541
BACasv232	0	0.001549802	0	0.001932854	0	0	0.010537271	0.006283869	Proteobacteria	0.002537975
BACasv233	0.005073142	0.003213003	0.002850302	0.00411782	0	0	0.001626122	0.004554364	Proteobacteria	0.002679344
BACasv234	0.003152244	0	0	0	0	0.000594722	0	0	Proteobacteria	0.000468371
BACasv235	0.000788061	0.000642601	0	0.000924409	0	0.0001239	0	0	Gemmatimonadetes	0.000309871
BACasv236	0	0	0	0	0.000953188	0	0	0	Acidobacteria	0.000119149
BACasv237	0	0	0	0	0.003918661	0	0.001235853	0	Actinobacteria	0.000644314
BACasv238	0	0	0	0	0	0.000991203	0	0	Firmicutes	0.0001239
BACasv239	0.00310299	0.002646003	0.001995211	0.001848817	0	0	0.004553142	0.005130866	Actinobacteria	0.002409629
BACasv240	0	0	0	0	0	0.001561145	0	0	Actinobacteria	0.000195143
BACasv241	0.000886568	0.000680401	0.001596169	0.003109374	0	0	0	0.003631961	Acidobacteria	0.001238059
BACasv242	0	0.000642601	0.000114012	0.00029413	0.002541834	0.001511585	0.001235853	0.000403551	Chloroflexi	0.000842946
BACasv243	0.00142836	0.002343602	0.000912097	0	0	0	0.002731885	0.002594258	Actinobacteria	0.001251275
BACasv245	0.003152244	0.001663202	0	0.002605151	0	0	0	0.00334371	Actinobacteria	0.001345538
BACasv246	0.001625376	0.003061803	0.000912097	0.003403504	0	0	0	0	Acidobacteria	0.001125348
BACasv247	0	0	0.000342036	0	0	0.000545162	0	0	Chloroflexi	0.0001109
BACasv248	0.002167167	0.001663202	0.003876411	0.002857263	0	0	0	0	Planctomycetes	0.001320505
BACasv249	0.002708959	0.001701002	0.003249344	0.00382369	0	0	0.001886302	0.005822668	Proteobacteria	0.002398996
BACasv250	0	0.001436401	0	0.001722761	0	0	0.001756212	0.003516661	Actinobacteria	0.001054004
BACasv251	0	0	0	0	0.000847278	0.001313344	0	0	Actinobacteria	0.000270078
BACasv253	0	0	0	0	0	0.00014868	0	0	Planctomycetes	0.000018585
BACasv254	0.005664188	0.007030807	0.009006955	0.009328123	0	0	0.000975673	0.001210654	Proteobacteria	0.00415205
BACasv255	0	0	0	0	0	0	0.003837648	0.002824859	Actinobacteria	0.000832813
BACasv256	0.001773137	0.002948403	0.001197127	0.001680743	0	0	0.003447379	0.00657212	Actinobacteria	0.002202364
BACasv257	0.001576122	0.000831601	0.002052218	0.001596706	0.000582504	0	0.003057109	0	Firmicutes	0.001212033
BACasv258	0.000443284	0.001512002	0	0.001218539	0	0	0.003772603	0.003747262	Chloroflexi	0.001336711
BACasv259	0.000492538	0	0.00057006	0.000504223	0	0	0.001691167	0.001844806	Actinobacteria	0.000637849
BACasv260	0	0	0	0	0	0.000594722	0	0	Proteobacteria	7.43E-05
BACasv261	0	0	0	0	0.000900233	0	0	0	Actinobacteria	0.000112529
BACasv262	0.00517165	0.005745606	0.004332459	0.005168284	0	0	0	0.001325954	Proteobacteria	0.002717994
BACasv263	0.000738807	0.001134001	0.002109224	0.002395059	0	0	0	0	Planctomycetes	0.000797136
BACasv264	0.000541792	0.0002646	0	0	0	0	0.003382334	0.006860371	Proteobacteria	0.001381137
BACasv266	0.002758213	0	0	0	0	0	0	0	Proteobacteria	0.000344777
BACasv267	0	0	0	0	0.001588646	0.001833726	0	0	Actinobacteria	0.000427797
BACasv268	0	0	0	0	0.001588646	0.000644282	0	0	Actinobacteria	0.000279116
BACasv269	0	0	0	0	0	0	0	0.00322841	Proteobacteria	0.000403551
BACasv270	0	0	0	0	0	0.000842523	0	0	Proteobacteria	0.000105315
BACasv272	0.003546274	0.002986203	0	0.00088239	0	0	0.001430987	0.00322841	Actinobacteria	0.001509283
BACasv273	0.003546274	0.002646003	0.003135332	0.001890836	0	0	0	0.007090972	Actinobacteria	0.002288677
BACasv274	0.000738807	0.002419202	0.003819405	0.004495987	0	0	0	0	Acidobacteria	0.001434175
BACasv275	0.001920898	0.002835003	0.002223236	0.005168284	0	0	0	0	Acidobacteria	0.001518428
BACasv276	0	0	0	0	0.002912519	0	0	0	Actinobacteria	0.000364065
BACasv277	0.001132838	0	0	0.000672297	0	0	0.003967738	0.001325954	Chloroflexi	0.000887353
BACasv278	0.001182091	0.002079002	0.002394254	0.001806799	0	0	0.004423052	0.00317076	Actinobacteria	0.001881995
BACasv279	0.005713441	0.001625402	0.000912097	0.00088239	0	0	0	0	Actinobacteria	0.001141666
BACasv280	0.007388071	0.011982612	0.003420363	0.004832136	0	0	0	0	Acidobacteria	0.003452898
BACasv281	0.001674629	0.002041202	0	0	0	0	0	0	Acidobacteria	0.000464479
BACasv282	0.003546274	0.005027405	0.00518755	0.005630489	0	0	0	0.001383604	Proteobacteria	0.002596915
BACasv283	0.000541792	0.001058401	0.000912097	0.001008446	0	0	0.002211526	0.003804912	Actinobacteria	0.001192147
BACasv284	0.000886568	0	0	0	0	0	0	0	Actinobacteria	0.000110821
BACasv285	0	0	0	0	0.001217962	0.000520382	0	0	Proteobacteria	0.000217293
BACasv286	0.003546274	0.002154602	0.003534375	0	0	0	0.001365943	0.005765018	Actinobacteria	0.002045777
BACasv288	0	0	0	8.40E-05	0.000900233	0.002205427	0	0	Chloroflexi	0.000398708
BACasv289	0.004580604	0.003893404	0.00330635	0.00352956	0	0	0	0	Gemmatimonadetes	0.00191374
BACasv290	0.003349259	0.001701002	0.003249344	0.001722761	0.000688413	0.000446041	0	0.002478958	Actinobacteria	0.001704472
BACasv291	0	0	0	0	0	0	0.003382334	0	Actinobacteria	0.000422792
BACasv292	0	0	0	0	0	0	0.003382334	0	Cyanobacteria	0.000422792
BACasv293	0.003152244	0.000529201	0.003648387	0.002016891	0	0.000223021	0.001496032	0	Chloroflexi	0.001383222
BACasv294	0.00206866	0.001927802	0	0.001344594	0	0	0.004162872	0	Chloroflexi	0.001187991
