id	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Abundance
ProASV93	0.000588235	0	0.000588235	0	0	0.003529412	0	0.002352941	0.088235294
ProASV94	0	0.002352941	0.002941176	0.001764706	0	0	0	0	0.088235294
ProASV95	0.001176471	0.000588235	0.002941176	0	0	0.006470588	0	0	0.139705882
ProASV96	0	0	0	0	0	0	0.006470588	0	0.080882353
ProASV97	0.005882353	0.014705882	0.02	0.004705882	0.028823529	0.012352941	0.010588235	0.000588235	1.220588235
ProASV98	0	0	0	0	0	0	0.005882353	0	0.073529412
ProASV99	0.01	0	0.005882353	0	0.001176471	0.004117647	0.005294118	0.000588235	0.338235294
ProASV100	0.001764706	0	0.002352941	0	0	0	0.001176471	0.000588235	0.073529412
ProASV101	0.051764706	0.018235294	0.106470588	0.027058824	0.021764706	0.012352941	0.007058824	0.004705882	3.117647059
ProASV102	0	0	0	0	0.000588235	0	0	0	0.007352941
ProASV103	0	0	0	0	0.000588235	0	0	0	0.007352941
ProASV104	0	0.001176471	0	0	0	0	0	0	0.014705882
ProASV106	0	0	0	0	0.001176471	0.000588235	0	0	0.022058824
ProASV107	0.048823529	0.028823529	0.032941176	0.014117647	0.039411765	0.030588235	0.012941176	0.007058824	2.683823529
ProASV108	0.000588235	0.001176471	0.002941176	0	0.001764706	0	0.001764706	0	0.102941176
ProASV109	0	0	0.000588235	0.000588235	0.001176471	0	0	0	0.029411765
ProASV110	0	0	0.003529412	0	0	0	0	0	0.044117647
ProASV111	0.010588235	0.004705882	0.029411765	0.001764706	0.015882353	0.002352941	0.002352941	0.016470588	1.044117647
ProASV113	0.007647059	0.004705882	0.003529412	0.001764706	0.047647059	0.005294118	0	0.002352941	0.911764706
ProASV114	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV115	0.022352941	0.012352941	0.053529412	0.008823529	0.051176471	0.015294118	0.025294118	0.02	2.610294118
ProASV116	0.001764706	0.000588235	0.003529412	0.006470588	0.001176471	0.007058824	0	0.004705882	0.316176471
ProASV117	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV118	0	0	0.004117647	0	0.001176471	0	0.000588235	0	0.073529412
ProASV120	0	0	0.001764706	0	0	0	0	0	0.022058824
ProASV121	0.002352941	0.000588235	0.002352941	0.001176471	0.006470588	0	0.003529412	0.001176471	0.220588235
ProASV122	0.004705882	0.003529412	0.008235294	0.004117647	0.000588235	0	0.007647059	0.003529412	0.404411765
ProASV123	0.007058824	0.008235294	0.004705882	0.000588235	0.000588235	0	0.005294118	0	0.330882353
ProASV124	0.002352941	0.002941176	0.000588235	0.000588235	0.009411765	0.008235294	0	0.001764706	0.323529412
ProASV127	0	0.004705882	0	0	0	0	0	0	0.058823529
ProASV128	0	0.016470588	0.001764706	0.000588235	0.004117647	0	0	0.028823529	0.647058824
ProASV129	0.001176471	0.001764706	0	0	0	0	0	0	0.036764706
ProASV130	0.001176471	0.042352941	0.002941176	0	0	0	0.002352941	0.01	0.735294118
ProASV131	0.004705882	0.004705882	0.009411765	0.011764706	0.001764706	0.001176471	0.001764706	0.007647059	0.536764706
ProASV133	0.003529412	0.005294118	0	0	0	0	0	0	0.110294118
ProASV134	0.001176471	0	0	0	0	0	0	0	0.014705882
ProASV135	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV136	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV137	0.001764706	0	0.014705882	0	0.000588235	0	0	0	0.213235294
ProASV138	0.007058824	0.006470588	0.024705882	0.003529412	0	0.002941176	0	0.001176471	0.573529412
ProASV139	0	0	0	0.001176471	0	0	0	0	0.014705882
ProASV140	0	0.002352941	0	0	0	0	0	0	0.029411765
ProASV141	0	0	0	0.000588235	0	0	0	0	0.007352941
ProASV142	0	0.002352941	0.002352941	0.002352941	0.001176471	0	0.000588235	0.000588235	0.117647059
ProASV143	0.002352941	0.007058824	0.003529412	0.003529412	0.002352941	0.004117647	0.003529412	0	0.330882353
ProASV144	0.011764706	0.020588235	0.007647059	0.011764706	0.004117647	0.001764706	0.018823529	0.008235294	1.058823529
ProASV145	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV146	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV148	0.001764706	0.01	0	0	0	0	0	0	0.147058824
ProASV149	0	0	0	0.001176471	0	0.001764706	0	0	0.036764706
ProASV151	0	0	0	0	0	0	0	0.000588235	0.007352941
ProASV152	0	0	0	0	0.002352941	0	0	0	0.029411765
ProASV153	0	0	0.001764706	0	0	0	0	0	0.022058824
ProASV154	0	0	0	0	0.000588235	0	0	0	0.007352941
ProASV157	0	0	0	0	0.001176471	0	0	0	0.014705882
ProASV158	0	0	0	0	0.001176471	0	0	0	0.014705882
ProASV159	0	0.001764706	0	0	0.001176471	0	0.001764706	0.000588235	0.066176471
ProASV160	0	0	0	0	0	0.003529412	0	0	0.044117647
ProASV161	0	0	0	0.001764706	0	0	0	0	0.022058824
ProASV162	0.000588235	0.002352941	0.005294118	0.003529412	0.008235294	0	0.003529412	0	0.294117647
ProASV163	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV164	0.03	0.034117647	0.022941176	0.030588235	0.020588235	0.016470588	0.012941176	0.03	2.470588235
ProASV165	0.055882353	0.044705882	0.012352941	0.027647059	0.021176471	0.021176471	0.018823529	0.022941176	2.808823529
ProASV166	0.001176471	0	0.004117647	0	0.002352941	0.001176471	0.001176471	0.001764706	0.147058824
ProASV167	0	0	0	0	0	0	0	0.000588235	0.007352941
ProASV168	0.017647059	0.011176471	0.004117647	0.002941176	0.008235294	0.028823529	0.011764706	0.001176471	1.073529412
ProASV169	0	0	0	0	0	0	0	0.000588235	0.007352941
ProASV170	0.015294118	0	0	0	0	0	0	0	0.191176471
ProASV171	0.001764706	0.000588235	0.004117647	0	0	0.001764706	0	0	0.102941176
ProASV172	0	0	0	0	0.001764706	0	0	0.000588235	0.029411765
ProASV175	0.001764706	0.000588235	0	0	0.001176471	0	0.000588235	0	0.051470588
ProASV176	0	0	0	0	0	0.005882353	0	0	0.073529412
ProASV177	0.002941176	0	0.001176471	0.000588235	0	0	0	0.000588235	0.066176471
ProASV178	0	0	0	0	0	0	0.000588235	0	0.007352941
ProASV179	0.001176471	0.003529412	0.001176471	0.002941176	0	0	0	0	0.110294118
ProASV181	0	0.002941176	0.002352941	0	0	0	0	0.001176471	0.080882353
ProASV182	0.001176471	0.001764706	0	0	0	0	0	0	0.036764706
ProASV183	0	0	0.001764706	0	0	0	0	0	0.022058824
ProASV184	0	0	0	0.002941176	0	0	0	0	0.036764706
ProASV186	0.001176471	0	0	0	0.000588235	0	0	0.001764706	0.044117647
ProASV187	0.006470588	0.001764706	0	0.001764706	0.004117647	0	0.001176471	0.001764706	0.213235294
ProASV189	0	0	0	0	0	0	0	0.002941176	0.036764706
ProASV190	0.017058824	0.006470588	0.005882353	0.01	0.002941176	0	0	0.001764706	0.551470588
ProASV192	0.007647059	0.025294118	0.005294118	0.012941176	0	0.009411765	0	0.001176471	0.772058824
ProASV193	0.007058824	0.011176471	0.007058824	0.006470588	0	0.002352941	0.002352941	0.002941176	0.492647059
ProASV194	0.011764706	0	0.005882353	0.001176471	0	0	0.015882353	0.007058824	0.522058824
ProASV196	0	0.002352941	0	0	0	0	0	0.001176471	0.044117647
ProASV198	0	0	0	0	0	0	0	0.002352941	0.029411765
ProASV199	0	0	0	0	0	0.002941176	0.004705882	0.002352941	0.125
ProASV200	0	0	0	0	0	0.001764706	0	0.001176471	0.036764706
ProASV201	0.004705882	0.002941176	0.003529412	0.005294118	0.000588235	0	0.001176471	0.001176471	0.242647059
ProASV202	0	0.000588235	0	0	0	0	0	0	0.007352941
ProASV203	0.008823529	0.004705882	0.002941176	0.003529412	0	0	0.007058824	0	0.338235294
ProASV204	0	0	0	0	0.002352941	0	0.004117647	0	0.080882353
ProASV205	0.004705882	0.003529412	0.002941176	0.002352941	0.003529412	0	0	0.002941176	0.25
ProASV206	0	0	0	0	0.001176471	0	0	0.001764706	0.036764706
ProASV207	0.002352941	0	0	0	0	0	0	0	0.029411765
ProASV208	0.009411765	0.005294118	0	0.003529412	0.002941176	0.000588235	0.002941176	0	0.308823529
ProASV209	0	0	0	0.002941176	0	0	0	0	0.036764706
ProASV210	0.002352941	0.001764706	0.002352941	0.005882353	0.001176471	0	0.008823529	0.007058824	0.367647059
ProASV211	0.001176471	0.001764706	0	0	0.001764706	0	0.003529412	0	0.102941176
ProASV212	0.003529412	0.006470588	0.001764706	0	0.003529412	0.000588235	0.002941176	0	0.235294118
ProASV213	0.003529412	0.005882353	0.004117647	0.002941176	0.001764706	0.003529412	0	0.004117647	0.323529412
ProASV214	0.001176471	0	0	0	0	0	0	0	0.014705882
ProASV215	0.001764706	0	0	0	0.001764706	0	0	0	0.044117647
ProASV216	0.003529412	0.001176471	0.001764706	0.003529412	0.000588235	0	0.001176471	0	0.147058824
ProASV217	0.011176471	0.007647059	0.007647059	0.007647059	0.004705882	0.000588235	0.001176471	0.001764706	0.529411765
ProASV218	0.004117647	0.000588235	0.001764706	0	0	0	0	0.002941176	0.117647059
ProASV220	0	0	0	0	0.001176471	0.000588235	0.001764706	0.003529412	0.088235294
ProASV221	0.005294118	0.001176471	0	0.005882353	0.001764706	0	0.01	0.001176471	0.316176471
ProASV222	0.005882353	0	0	0	0.002352941	0	0.000588235	0.004705882	0.169117647
ProASV223	0	0	0.001176471	0	0	0	0	0	0.014705882
ProASV224	0	0	0	0.001176471	0	0	0.001764706	0	0.036764706
ProASV225	0.000588235	0.002941176	0	0.002352941	0.001764706	0.002352941	0.004117647	0.002941176	0.213235294
ProASV227	0	0.008823529	0	0	0	0	0	0.001176471	0.125
ProASV228	0.011176471	0.013529412	0.003529412	0.003529412	0.002941176	0	0.016470588	0.000588235	0.647058824
ProASV229	0.002352941	0	0	0	0	0	0.002941176	0.002352941	0.095588235
ProASV230	0	0	0	0	0	0	0	0.002352941	0.029411765
ProASV231	0.001176471	0.000588235	0	0.003529412	0.002941176	0.001176471	0.001176471	0.000588235	0.139705882
ProASV232	0.006470588	0.004117647	0.008235294	0.009411765	0.003529412	0	0.006470588	0.004705882	0.536764706
ProASV233	0.028235294	0.014117647	0.017058824	0.028235294	0.005882353	0.01	0.002352941	0.008235294	1.426470588
ProASV234	0.011764706	0.002941176	0.002352941	0.003529412	0.004705882	0.004117647	0.004705882	0.004705882	0.485294118
ProASV236	0	0	0	0.001176471	0	0	0	0	0.014705882
ProASV237	0	0	0	0	0	0.001764706	0	0	0.022058824
ProASV238	0	0.002352941	0	0.000588235	0.003529412	0	0.002941176	0.003529412	0.161764706
ProASV239	0.004705882	0.002941176	0.01	0.020588235	0.007647059	0.007058824	0.004117647	0.021176471	0.977941176
ProASV240	0.002941176	0.010588235	0	0	0.001764706	0	0.004705882	0.001176471	0.264705882
ProASV241	0.015294118	0.011764706	0.004117647	0.026470588	0.008823529	0.003529412	0.003529412	0.021176471	1.183823529
ProASV242	0.042352941	0.067647059	0.045294118	0.055294118	0.039411765	0.035294118	0.071764706	0.074705882	5.397058824
ProASV243	0.012352941	0.008235294	0.005294118	0.009411765	0.004705882	0.009411765	0	0.024117647	0.919117647
ProASV244	0.009411765	0.005294118	0	0.007058824	0.003529412	0.001764706	0	0.015882353	0.536764706
ProASV245	0	0	0	0	0	0	0.004705882	0	0.058823529
ProASV246	0.026470588	0.021764706	0.010588235	0.028235294	0.022941176	0.002941176	0	0.045294118	1.977941176
ProASV247	0.014117647	0.007647059	0.003529412	0.002941176	0	0	0	0.004117647	0.404411765
ProASV248	0.014705882	0.014117647	0.007647059	0.009411765	0.000588235	0.005294118	0.006470588	0.009411765	0.845588235
ProASV249	0.006470588	0	0	0	0	0	0.003529412	0.001764706	0.147058824
ProASV250	0	0.009411765	0.005294118	0.002941176	0.001764706	0	0.005882353	0.001764706	0.338235294
ProASV253	0.133529412	0.061176471	0.052352941	0.066470588	0.014705882	0.007647059	0.008235294	0.012941176	4.463235294
ProASV254	0.001764706	0.003529412	0.002941176	0.002352941	0.003529412	0	0	0	0.176470588
ProASV255	0	0	0	0	0	0.001764706	0	0	0.022058824
ProASV256	0.000588235	0.003529412	0.003529412	0.001176471	0.000588235	0	0	0.000588235	0.125
