ASVID	Phylum	Abundance
BACasv134	Actinobacteria	0.000690299
BACasv139	Actinobacteria	0.001506123
BACasv141	Proteobacteria	0.002939084
BACasv142	Gemmatimonadetes	0.001238725
BACasv145	Acidobacteria	0.001350781
BACasv148	Chloroflexi	0.002852723
BACasv152	Actinobacteria	0.001404099
BACasv156	Acidobacteria	0.000881523
BACasv157	Actinobacteria	0.001223579
BACasv160	Proteobacteria	0.001495993
BACasv161	Bacteroidetes	0.00072036
BACasv164	Acidobacteria	0.000378879
BACasv167	Actinobacteria	0.000740422
BACasv169	Planctomycetes	8.74E-05
BACasv173	Firmicutes	0.000414321
BACasv174	Actinobacteria	0.000378356
BACasv176	Actinobacteria	0.000935731
BACasv178	Chloroflexi	0.000716359
BACasv181	Chloroflexi	0.00039296
BACasv182	Firmicutes	0.000521706
BACasv183	Actinobacteria	0.000438073
BACasv186	Proteobacteria	0.000856444
BACasv187	Chloroflexi	0.004553803
BACasv188	Actinobacteria	0.000545582
BACasv192	Actinobacteria	0.000990512
BACasv193	Proteobacteria	0.000604855
BACasv194	Proteobacteria	0.000533511
BACasv199	Proteobacteria	0.001104479
BACasv205	Actinobacteria	0.000454648
BACasv206	Acidobacteria	0.000375133
BACasv207	Bacteroidetes	0.000548293
BACasv208	Proteobacteria	0.000295252
BACasv209	Proteobacteria	0.00033523
BACasv211	Chloroflexi	0.000730435
BACasv213	Actinobacteria	0.000689054
BACasv219	Proteobacteria	0.000596035
BACasv221	Proteobacteria	0.000418758
BACasv222	Proteobacteria	0.000679853
BACasv231		0.00092703
BACasv233	Proteobacteria	0.00003861
BACasv234	Proteobacteria	0.000145971
BACasv235	Gemmatimonadetes	0.00054164
BACasv236	Acidobacteria	0.000420617
BACasv237	Actinobacteria	0.001033535
BACasv238	Firmicutes	0.000307328
BACasv240	Actinobacteria	0.000210598
BACasv241	Acidobacteria	4.54E-05
BACasv242	Chloroflexi	0.001166226
BACasv245	Actinobacteria	0.000158358
BACasv247	Chloroflexi	0.000505803
BACasv252	Planctomycetes	0.000241906
BACasv253	Planctomycetes	0.001609674
BACasv254	Proteobacteria	0.00011189
BACasv265	Chloroflexi	0.000248582
BACasv267	Actinobacteria	0.000632207
BACasv268	Actinobacteria	0.000162622
BACasv270	Proteobacteria	0.000214472
BACasv271	Proteobacteria	0.000541296
BACasv283	Actinobacteria	4.59E-05
BACasv284	Actinobacteria	0.000349098
BACasv285	Proteobacteria	0.000421697
BACasv287	Chloroflexi	0.00090065
BACasv288	Chloroflexi	0.001924323
BACasv290	Actinobacteria	6.26E-05
BACasv293	Chloroflexi	0.000444966
BACasv294	Chloroflexi	2.17E-05
BACasv296	Proteobacteria	0.00034462
BACasv299	Proteobacteria	4.36E-05
BACasv300	Acidobacteria	0.000253681
BACasv301	Chloroflexi	0.000233515
BACasv302	Proteobacteria	0.000126219
BACasv305	Actinobacteria	0.000369027
BACasv306	Firmicutes	0.000364145
BACasv309	Actinobacteria	0.000286576
BACasv311	Proteobacteria	0.000467967
BACasv315	Actinobacteria	0.000356656
BACasv317	Proteobacteria	3.26E-05
BACasv319	Planctomycetes	0.000243872
BACasv323	Proteobacteria	0.000317123
BACasv324	Chloroflexi	0.000832837
BACasv325	Actinobacteria	0.000292772
BACasv330	Planctomycetes	0.000211637
BACasv331	Chloroflexi	0.000257429
BACasv336	Proteobacteria	0.000285074
BACasv343	Planctomycetes	0.000996921
BACasv348	Acidobacteria	0.000416012
BACasv351	Acidobacteria	0.000481558
BACasv352	Chloroflexi	0.000201348
BACasv355	Proteobacteria	9.08E-05
BACasv358	Planctomycetes	0.000281001
BACasv359	Chloroflexi	0.000186052
BACasv362	Proteobacteria	5.64E-05
BACasv366	Proteobacteria	0.000478954
BACasv367	Firmicutes	0.000479517
BACasv374	Proteobacteria	0.000262929
BACasv385	Proteobacteria	0.000103777
BACasv387	Bacteroidetes	0.000382247
BACasv388	Cyanobacteria	0.000304999
BACasv389	Proteobacteria	0.000639713
BACasv391	Proteobacteria	2.97E-05
BACasv393	Proteobacteria	0.00035857
BACasv397	GAL15	0.000254596
BACasv398	Proteobacteria	0.00010684
BACasv399	Proteobacteria	0.000227546
BACasv403	Chloroflexi	4.96E-05
BACasv408	Proteobacteria	0.000128389
BACasv409	Acidobacteria	0.00014614
BACasv410	Chloroflexi	0.000454066
BACasv411	Acidobacteria	0.000301052
BACasv417	Actinobacteria	0.000277759
BACasv419	Verrucomicrobia	0.000260895
BACasv422	Chloroflexi	0.000133799
BACasv425	Actinobacteria	0.000222095
BACasv428	Actinobacteria	0.000395987
BACasv429	Proteobacteria	0.000221628
BACasv430	Chloroflexi	0.000233138
BACasv438	Proteobacteria	0.000094969
BACasv439	Proteobacteria	0.000289823
BACasv440	Chloroflexi	0.000652693
BACasv441	Acidobacteria	0.00013064
BACasv442	Chloroflexi	0.000221591
BACasv449	Chloroflexi	0.00026288
BACasv450	Firmicutes	0.000851047
BACasv455	Verrucomicrobia	7.92E-05
BACasv457	Proteobacteria	1.45E-05
BACasv459	Proteobacteria	0.000269428
BACasv460	Proteobacteria	7.24E-05
BACasv461	Patescibacteria	7.24E-05
BACasv466	Proteobacteria	0.00019825
BACasv467	Acidobacteria	0.000279067
BACasv470	Proteobacteria	8.31E-05
BACasv472	Gemmatimonadetes	0.000323447
BACasv482	Proteobacteria	0.000201598
BACasv483	Euryarchaeota	0.000183964
BACasv484	Acidobacteria	0.000287159
BACasv487	Proteobacteria	0.000019305
BACasv489	Proteobacteria	0.000206677
BACasv492	Acidobacteria	0.000173197
BACasv493	Planctomycetes	0.00032712
BACasv494	Verrucomicrobia	0.000224182
BACasv495	Chloroflexi	0.000451846
BACasv511	Gemmatimonadetes	0.000476718
BACasv512	Firmicutes	1.88E-05
BACasv517	Verrucomicrobia	4.59E-05
BACasv521	Verrucomicrobia	0.00010192
BACasv528	Gemmatimonadetes	0.000323469
BACasv529	Proteobacteria	0.000267447
BACasv530	Actinobacteria	0.000255751
BACasv532	Actinobacteria	0.000096035
BACasv533	Bacteroidetes	0.000645808
BACasv536	Proteobacteria	6.98E-05
BACasv539	Acidobacteria	0.000099182
BACasv541	Firmicutes	0.000109066
BACasv546	Proteobacteria	0.000154183
BACasv547	Planctomycetes	0.000131113
BACasv548	Acidobacteria	0.000184548
BACasv560	Proteobacteria	0.000141104
BACasv561	Firmicutes	0.000190715
BACasv562	FCPU426	0.000472047
BACasv569	Proteobacteria	0.000118062
BACasv575	Acidobacteria	0.000117812
BACasv576	Proteobacteria	0.000130338
BACasv577	Proteobacteria	0.000220989
BACasv578	Acidobacteria	5.94E-05
BACasv580	Chloroflexi	6.54E-05
BACasv587	Chloroflexi	0.000140089
BACasv596	Firmicutes	0.000081311
BACasv605	Acidobacteria	7.10E-05
BACasv606	Proteobacteria	5.64E-05
BACasv607	Proteobacteria	5.64E-05
BACasv608	Actinobacteria	0.000145884
BACasv609	Bacteroidetes	7.93E-05
BACasv611	Bacteroidetes	7.93E-05
BACasv612	Firmicutes	0.000120003
BACasv614	Gemmatimonadetes	5.05E-05
BACasv621	Actinobacteria	3.72E-05
BACasv622	Proteobacteria	3.86E-05
BACasv633	Proteobacteria	0.000107701
BACasv634	Proteobacteria	5.34E-05
BACasv635	Proteobacteria	7.52E-05
BACasv636	Proteobacteria	0.000116042
BACasv637	Patescibacteria	0.000249593
BACasv645	Euryarchaeota	8.52E-05
BACasv649	Acidobacteria	0.000106032
BACasv650	Planctomycetes	0.000152641
BACasv669	Cyanobacteria	0.000160661
BACasv670	Gemmatimonadetes	0.00003861
BACasv672	Bacteroidetes	0.000223248
BACasv673	Proteobacteria	0.000131063
BACasv682	Planctomycetes	5.85E-05
BACasv686	Actinobacteria	0.000057074
BACasv687	Proteobacteria	3.62E-05
BACasv688	Chloroflexi	6.88E-05
BACasv712	Proteobacteria	5.94E-05
BACasv725	Actinobacteria	3.86E-05
BACasv726	Cyanobacteria	0.000206513
BACasv727	Verrucomicrobia	6.31E-05
BACasv728	Proteobacteria	7.11E-05
BACasv729	Cyanobacteria	0.000116138
BACasv736	Elusimicrobia	1.69E-05
BACasv749	Proteobacteria	0.000133993
BACasv750	Cyanobacteria	0.000118101
BACasv770	Planctomycetes	6.13E-05
BACasv773	Armatimonadetes	7.04E-05
BACasv774	Proteobacteria	3.26E-05
BACasv775	Proteobacteria	0.000133244
BACasv776	Proteobacteria	2.65E-05
BACasv792	Chloroflexi	1.25E-05
BACasv793	Cyanobacteria	6.92E-05
BACasv794	Firmicutes	2.97E-05
BACasv795	Proteobacteria	2.41E-05
BACasv796	Chloroflexi	4.54E-05
BACasv797	Proteobacteria	6.25E-05
BACasv800	Proteobacteria	3.63E-05
BACasv823	Dependentiae	5.12E-05
BACasv824	Proteobacteria	2.51E-05
BACasv830	Deinococcus-Thermus	3.76E-05
BACasv831	Proteobacteria	3.76E-05
BACasv832	Acidobacteria	2.17E-05
BACasv833	Bacteroidetes	4.08E-05
BACasv834	Proteobacteria	4.08E-05
BACasv835	Euryarchaeota	8.86E-05
BACasv865	Proteobacteria	2.37E-05
BACasv866	Elusimicrobia	2.37E-05
BACasv867	Proteobacteria	2.37E-05
BACasv868	Verrucomicrobia	0.000019305
BACasv869	Firmicutes	3.63E-05
BACasv870	Dependentiae	8.73E-05
BACasv871	Firmicutes	5.00E-05
BACasv872	Bacteroidetes	0.000078734
BACasv890	Cyanobacteria	5.72E-05
BACasv897	Planctomycetes	2.08E-05
BACasv898	Proteobacteria	0.000029228
BACasv899	Proteobacteria	1.69E-05
BACasv900	Firmicutes	0.000031765
BACasv901	Firmicutes	7.63E-05
BACasv902	Chloroflexi	7.63E-05
BACasv903	Firmicutes	6.36E-05
BACasv925	Patescibacteria	1.78E-05
BACasv926	Actinobacteria	1.78E-05
BACasv927	Gemmatimonadetes	4.91E-05
BACasv928	Proteobacteria	2.51E-05
BACasv929	Proteobacteria	2.51E-05
BACasv931	Actinobacteria	2.51E-05
BACasv932	Cyanobacteria	1.45E-05
BACasv933	Actinobacteria	3.26E-05
BACasv934	Chloroflexi	1.45E-05
BACasv935	Proteobacteria	1.45E-05
BACasv936	Acidobacteria	3.75E-05
BACasv937	Chloroflexi	3.75E-05
BACasv962	Bacteroidetes	4.21E-05
BACasv963	Proteobacteria	1.48E-05
BACasv964	Proteobacteria	0.00002671
BACasv965	Verrucomicrobia	1.48E-05
BACasv966	Verrucomicrobia	2.09E-05
BACasv969	Proteobacteria	2.88E-05
BACasv970	Gemmatimonadetes	2.27E-05
BACasv971	Actinobacteria	2.27E-05
BACasv972	Bacteroidetes	2.27E-05
BACasv973	Bacteroidetes	3.27E-05
BACasv993	Armatimonadetes	1.91E-05
BACasv995	Proteobacteria	1.82E-05
BACasv996	Firmicutes	3.63E-05
BACasv997	Firmicutes	0.000039367
BACasv1018	Cyanobacteria	1.36E-05
BACasv1019	Firmicutes	1.88E-05
BACasv1034	Chloroflexi	2.18E-05
